municipality,bfs_number,dist_to_zone_m,in_zone,near_3km,zone_category,lon,lat
Aadorf,4551,0,TRUE,TRUE,high_potential,8.521285280010376,47.30932370921847
Aarau,4001,12500,FALSE,FALSE,moderate_potential,9.235048868456593,46.53191451437727
Aarberg,301,2500,FALSE,TRUE,good_potential,6.191749466998677,46.39661419490496
Aarburg,4271,7071,FALSE,FALSE,moderate_potential,7.471756509731396,47.34044028007206
Aarwangen,321,2500,FALSE,TRUE,good_potential,8.222120252854653,47.47588625260339
Abtwil,4221,0,TRUE,TRUE,high_potential,7.284502147883891,47.41749657066739
Aclens,5621,0,TRUE,TRUE,high_potential,8.451961406040732,47.142538737222836
Acquarossa,5048,21360,FALSE,FALSE,moderate_potential,8.09309003838199,47.470547377505866
Adelboden,561,0,TRUE,TRUE,high_potential,6.775852438077151,46.62694232193598
Adligenswil,1051,2500,FALSE,TRUE,good_potential,6.925226723987845,46.359782692220996
Adliswil,131,10000,FALSE,FALSE,moderate_potential,8.009511360679948,47.373165188407555
Aedermannsdorf,2421,0,TRUE,TRUE,high_potential,6.967205742128128,46.84238089041918
Aefligen,401,5000,FALSE,FALSE,moderate_potential,8.1792960896161,47.261153309920786
Aegerten,731,5000,FALSE,FALSE,moderate_potential,6.973864249839983,46.87614561188071
Aesch (BL),2761,3536,FALSE,FALSE,moderate_potential,7.191069510280927,46.84472890576637
Aesch (LU),1021,5000,FALSE,FALSE,moderate_potential,6.730501825872395,46.58128303360423
Aesch (ZH),241,15207,FALSE,FALSE,moderate_potential,8.67127109492207,46.84934359325939
Aeschi (SO),2511,2500,FALSE,TRUE,good_potential,8.854036926172505,47.54798342173435
Aeschi bei Spiez,562,0,TRUE,TRUE,high_potential,6.80244145523596,46.77476852594205
Aeugst am Albis,1,12748,FALSE,FALSE,moderate_potential,6.136671931754218,46.316862214819714
Affeltrangen,4711,2500,FALSE,TRUE,good_potential,9.46096312313378,47.492858894325245
Affoltern am Albis,2,12500,FALSE,FALSE,moderate_potential,7.6576546208072385,46.93537608798443
Affoltern im Emmental,951,0,TRUE,TRUE,high_potential,7.091672141432971,46.62474879902659
Agarn,6101,7500,FALSE,FALSE,moderate_potential,6.326836734078831,46.51837436313748
Agiez,5742,0,TRUE,TRUE,high_potential,9.027471748646223,47.666657166367244
Agno,5141,14577,FALSE,FALSE,moderate_potential,7.570629477213032,46.88141080625937
Aigle,5401,5000,FALSE,FALSE,moderate_potential,9.20852484501443,46.82734805259942
Aire-la-Ville,6601,0,TRUE,TRUE,high_potential,7.050675481111207,46.65839147922983
Airolo,5061,0,TRUE,TRUE,high_potential,6.3931947570782555,46.62443622696672
Alberswil,1121,2500,FALSE,TRUE,good_potential,9.11935165787524,47.494837339864
Albinen,6102,10607,FALSE,FALSE,moderate_potential,7.691931900045449,47.103890452433
Albula/Alvra,3542,2500,FALSE,TRUE,good_potential,8.404751886849393,47.55831842523353
Alchenstorf,402,2500,FALSE,TRUE,good_potential,7.20001454086219,46.76763445319214
Allaman,5851,5590,FALSE,FALSE,moderate_potential,8.437132487915648,47.40972769356569
Alle,6771,5000,FALSE,FALSE,moderate_potential,7.471088837604425,47.031352404175124
Allmendingen,630,2500,FALSE,TRUE,good_potential,7.517206726422236,46.33422132713952
Allschwil,2762,10000,FALSE,FALSE,moderate_potential,8.39115208120264,47.11400189613212
Alpnach,1401,7071,FALSE,FALSE,moderate_potential,8.157557550582908,47.348190551387965
Alpthal,1361,0,TRUE,TRUE,high_potential,8.585053150963741,47.45799437604971
Altbüron,1122,0,TRUE,TRUE,high_potential,9.57943639150885,46.70696199797587
Altdorf (UR),1201,2500,FALSE,TRUE,good_potential,8.219616931004527,47.42092029822325
Altendorf,1341,0,TRUE,TRUE,high_potential,7.807699654282397,47.472182307653014
Altikon,211,3536,FALSE,FALSE,moderate_potential,8.205725606628702,47.36817886236989
Altishofen,1123,0,TRUE,TRUE,high_potential,6.94408973730676,47.21366493237073
Altnau,4641,2500,FALSE,TRUE,good_potential,6.168088629145682,46.37605385873598
